"Date","Google","bing","Yahoo!","Baidu","YANDEX","YANDEX RU","Ask Jeeves","DuckDuckGo","Naver","AOL","Haosou","Sogou","Babylon","Shenma","Seznam","Conduit","MSN","Mail.ru","Ecosia","Webcrawler","Daum","CocCoc","StartPagina (Google)","AVG Search","SweetIM","Windows Live","Other"
2018-02,91.63,2.71,1.94,1.29,0.33,0.63,0.01,0.2,0.19,0,0.12,0.1,0,0.62,0.04,0,0.05,0.04,0,0.01,0.05,0.01,0,0,0,0,0.04
2018-03,91.24,3.07,2.13,1.5,0.23,0.68,0.01,0.25,0.19,0,0.16,0.09,0,0.22,0.04,0,0.02,0.04,0,0.01,0.06,0.01,0,0,0,0,0.04
2018-04,90.61,3.24,2.09,2.04,0.18,0.68,0.01,0.28,0.17,0,0.17,0.1,0,0.24,0.04,0,0,0.04,0,0.01,0.06,0.01,0,0,0,0,0.05
2018-05,90.14,3.24,2.08,2.18,0.18,0.62,0.01,0.28,0.17,0,0.13,0.12,0,0.58,0.04,0,0.01,0.04,0,0.01,0.1,0.01,0,0,0,0,0.05
2018-06,90.31,3.2,2.06,1.98,0.19,0.62,0.01,0.28,0.17,0,0.11,0.14,0,0.56,0.05,0,0.07,0.03,0,0,0.15,0.02,0,0,0,0,0.05
2018-07,90.46,3.13,2.21,1.94,0.23,0.61,0.01,0.27,0.16,0,0.11,0.1,0,0.39,0.04,0,0.1,0.03,0,0,0.13,0.02,0,0,0,0,0.05
2018-08,90.91,3.18,2.46,1.37,0.23,0.58,0.01,0.28,0.15,0,0.09,0.12,0,0.31,0.04,0,0.07,0.03,0,0,0.06,0.02,0,0,0,0,0.05
2018-09,92.31,2.27,2.51,0.85,0.31,0.61,0.01,0.33,0.18,0,0.08,0.1,0,0.18,0.04,0,0.08,0.04,0,0,0.02,0.02,0,0,0,0,0.05
2018-10,92.74,2.17,2.32,0.81,0.29,0.6,0.01,0.32,0.13,0,0.06,0.09,0,0.22,0.03,0,0.08,0.04,0,0,0.02,0.01,0,0,0,0,0.05
2018-11,92.37,2.37,2.25,0.96,0.3,0.63,0.01,0.36,0.13,0,0.07,0.08,0,0.22,0.03,0,0.1,0.04,0,0,0.01,0.01,0,0,0,0,0.05
2018-12,92.25,2.41,2.07,1.01,0.48,0.63,0.01,0.44,0.11,0,0.06,0.07,0,0.22,0.03,0,0.09,0.04,0,0,0.01,0.01,0,0,0,0,0.05
2019-01,92.86,2.41,1.82,0.89,0.35,0.59,0.01,0.41,0.1,0,0.05,0.06,0,0.19,0.03,0,0.12,0.03,0,0,0.01,0.01,0,0,0,0,0.05
2019-02,92.92,2.38,1.79,1.03,0.33,0.55,0.01,0.38,0.09,0,0.04,0.07,0,0.18,0.03,0,0.08,0.04,0,0,0.01,0.01,0,0,0,0,0.05
2019-03,92.51,2.45,1.83,0.95,0.6,0.55,0.01,0.38,0.09,0,0.05,0.14,0,0.22,0.03,0,0.08,0.04,0,0,0.01,0.01,0,0,0,0,0.06
2019-04,92.81,2.38,1.89,1.02,0.29,0.54,0.01,0.36,0.13,0,0.05,0.19,0,0.1,0.03,0,0.07,0.03,0,0,0.01,0.01,0,0,0,0,0.06
2019-05,91.89,2.41,2.76,0.94,0.32,0.52,0.01,0.38,0.14,0,0.04,0.24,0,0.1,0.04,0,0.1,0.03,0,0,0.01,0.01,0,0,0,0,0.05
2019-06,92.62,2.51,1.78,1.11,0.33,0.54,0.01,0.4,0.14,0,0.04,0.2,0,0.09,0.04,0,0.07,0.03,0,0,0.01,0.01,0,0,0,0,0.05
2019-07,92.18,2.62,1.86,1.21,0.37,0.55,0,0.54,0.12,0,0.04,0.18,0,0.07,0.04,0,0.07,0.03,0.04,0,0.01,0.01,0,0,0,0,0.05
2019-08,92.37,2.63,1.8,1.1,0.36,0.51,0,0.55,0.13,0,0.04,0.15,0,0.06,0.04,0,0.05,0.03,0.11,0,0.01,0.01,0,0,0,0,0.05
2019-09,92.96,2.34,1.64,0.92,0.39,0.47,0.01,0.43,0.12,0,0.04,0.24,0,0.09,0.03,0,0.08,0.03,0.14,0,0.01,0.01,0,0,0,0,0.05
2019-10,92.78,2.55,1.61,0.9,0.35,0.5,0.01,0.4,0.08,0,0.04,0.34,0,0.11,0.02,0,0.06,0.03,0.13,0,0.01,0.02,0,0,0,0,0.05
